test,approach,answer,time
30-0.02-1c,1c-200f,1,0.76
30-0.02-1c,1c-200f,2,0.78
30-0.02-1c,1c-200f,3,0.78
30-0.02-1c,1c-200f,4,0.79
30-0.02-1c,1c-200f,5,0.79
30-0.02-1c,1c-200f,6,0.8
30-0.02-1c,1c-200f,7,0.81
30-0.02-1c,1c-200f,8,0.82
30-0.02-1c,1c-200f,9,0.83
30-0.02-1c,1c-200f,10,1.11
30-0.02-1c,1c-200f,11,1.13
30-0.02-1c,1c-200f,12,1.86
30-0.02-1c,1c-200f,13,2.14
30-0.02-1c,1c-200f,14,2.16
30-0.02-1c,1c-200f,15,2.17
30-0.02-1c,1c-200f,16,2.19
30-0.02-1c,1c-200f,17,2.21
30-0.02-1c,1c-200f,18,2.24
30-0.02-1c,1c-200f,19,2.25
30-0.02-1c,1c-200f,20,2.27
30-0.02-1c,1c-200f,21,2.28
30-0.02-1c,1c-200f,22,2.29
30-0.02-1c,1c-200f,23,2.31
30-0.02-1c,1c-200f,24,2.32
30-0.02-1c,1c-200f,25,2.33
30-0.02-1c,1c-200f,26,2.34
30-0.02-1c,1c-200f,27,2.36
30-0.02-1c,1c-200f,28,2.4
30-0.02-1c,1c-200f,29,2.46
30-0.02-1c,1c-200f,30,2.49
30-0.02-1c,1c-200f,31,2.55
30-0.02-1c,1c-200f,32,2.6
30-0.02-1c,1c-200f,33,2.64
30-0.02-1c,1c-200f,34,2.67
30-0.02-1c,1c-200f,35,2.71
30-0.02-1c,1c-200f,36,2.73
30-0.02-1c,1c-200f,37,2.75
30-0.02-1c,1c-200f,38,2.78
30-0.02-1c,1c-200f,39,2.8
30-0.02-1c,1c-200f,40,2.84
30-0.02-1c,1c-200f,41,2.86
30-0.02-1c,1c-200f,42,2.9
30-0.02-1c,1c-200f,43,2.94
30-0.02-1c,1c-200f,44,2.98
30-0.02-1c,1c-200f,45,3.03
30-0.02-1c,1c-200f,46,3.07
30-0.02-1c,1c-200f,47,3.11
30-0.02-1c,1c-200f,48,3.16
30-0.02-1c,1c-200f,49,3.18
30-0.02-1c,1c-200f,50,3.22
30-0.02-1c,1c-200f,51,3.24
30-0.02-1c,1c-200f,52,3.27
30-0.02-1c,1c-200f,53,3.29
30-0.02-1c,1c-200f,54,3.32
30-0.02-1c,1c-200f,55,3.35
30-0.02-1c,1c-200f,56,3.39
30-0.02-1c,1c-200f,57,3.41
30-0.02-1c,1c-200f,58,3.45
30-0.02-1c,1c-200f,59,3.48
30-0.02-1c,1c-200f,60,3.51
30-0.02-1c,1c-200f,61,3.54
30-0.02-1c,1c-200f,62,3.57
30-0.02-1c,1c-200f,63,3.6
30-0.02-1c,1c-200f,64,3.63
30-0.02-1c,1c-200f,65,3.66
30-0.02-1c,1c-200f,66,3.7
30-0.02-1c,1c-200f,67,3.76
30-0.02-1c,1c-200f,68,3.79
30-0.02-1c,1c-200f,69,3.81
30-0.02-1c,1c-200f,70,3.85
30-0.02-1c,1c-200f,71,3.9
30-0.02-1c,1c-200f,72,3.95
30-0.02-1c,1c-200f,73,4.01
30-0.02-1c,1c-200f,74,4.07
30-0.02-1c,1c-200f,75,4.11
30-0.02-1c,1c-200f,76,4.14
30-0.02-1c,1c-200f,77,4.16
30-0.02-1c,1c-200f,78,4.2
30-0.02-1c,1c-200f,79,4.23
30-0.02-1c,1c-200f,80,4.26
30-0.02-1c,1c-200f,81,4.31
30-0.02-1c,1c-200f,82,4.36
30-0.02-1c,1c-200f,83,4.39
30-0.02-1c,1c-200f,84,4.47
30-0.02-1c,1c-200f,85,4.54
30-0.02-1c,1c-200f,86,4.56
30-0.02-1c,1c-200f,87,4.61
30-0.02-1c,1c-200f,88,4.64
30-0.02-1c,1c-200f,89,4.67
30-0.02-1c,1c-200f,90,4.72
30-0.02-1c,1c-200f,91,4.76
30-0.02-1c,1c-200f,92,4.8
30-0.02-1c,1c-200f,93,4.81
30-0.02-1c,1c-200f,94,4.84
30-0.02-1c,1c-200f,95,4.88
30-0.02-1c,1c-200f,96,4.92
30-0.02-1c,1c-200f,97,4.95
30-0.02-1c,1c-200f,98,4.97
30-0.02-1c,1c-200f,99,5.01
30-0.02-1c,1c-200f,100,5.04
30-0.02-1c,1c-200f,101,5.07
30-0.02-1c,1c-200f,102,5.08
