test,approach,answer,time,responseTime,isPositive
30-0.02-8c,8c-20f,1,0.00,2242877.00,0
30-0.02-8c,8c-20f,2,0.01,4404045.00,0
30-0.02-8c,8c-20f,3,0.01,3395723.00,0
30-0.02-8c,8c-20f,4,0.02,12515968.00,0
30-0.02-8c,8c-20f,5,0.02,16183489.00,0
30-0.02-8c,8c-20f,6,0.02,15982799.00,0
30-0.02-8c,8c-20f,7,0.02,12316665.00,0
30-0.02-8c,8c-20f,8,0.02,17284193.00,0
30-0.02-8c,8c-20f,9,0.02,15768746.00,1
30-0.02-8c,8c-20f,10,0.02,21707809.00,0
30-0.02-8c,8c-20f,11,0.03,15264464.00,1
30-0.02-8c,8c-20f,12,0.03,7432679.00,0
30-0.02-8c,8c-20f,13,0.03,19738852.00,0
30-0.02-8c,8c-20f,14,0.03,7168686.00,0
30-0.02-8c,8c-20f,15,0.03,16448369.00,0
30-0.02-8c,8c-20f,16,0.03,13987348.00,1
30-0.02-8c,8c-20f,17,0.03,18165125.00,0
30-0.02-8c,8c-20f,18,0.03,24793323.00,1
30-0.02-8c,8c-20f,19,0.03,14155272.00,1
30-0.02-8c,8c-20f,20,0.03,26037216.00,0
30-0.02-8c,8c-20f,21,0.03,26048709.00,0
30-0.02-8c,8c-20f,22,0.03,20134466.00,0
30-0.02-8c,8c-20f,23,0.03,23982517.00,0
30-0.02-8c,8c-20f,24,0.03,23572560.00,0
30-0.02-8c,8c-20f,25,0.03,24807538.00,0
30-0.02-8c,8c-20f,26,0.03,11134959.00,0
30-0.02-8c,8c-20f,27,0.03,17755386.00,0
30-0.02-8c,8c-20f,28,0.03,14435741.00,0
30-0.02-8c,8c-20f,29,0.03,29385959.00,1
30-0.02-8c,8c-20f,30,0.03,21073363.00,1
30-0.02-8c,8c-20f,31,0.03,29401677.00,0
30-0.02-8c,8c-20f,32,0.03,18137931.00,0
30-0.02-8c,8c-20f,33,0.03,26087040.00,0
30-0.02-8c,8c-20f,34,0.03,27139953.00,0
30-0.02-8c,8c-20f,35,0.03,20496202.00,0
30-0.02-8c,8c-20f,36,0.03,14216999.00,1
30-0.02-8c,8c-20f,37,0.03,31217364.00,1
30-0.02-8c,8c-20f,38,0.04,31779016.00,0
30-0.02-8c,8c-20f,39,0.04,27327832.00,0
30-0.02-8c,8c-20f,40,0.04,24069035.00,0
30-0.02-8c,8c-20f,41,0.04,33399049.00,0
30-0.02-8c,8c-20f,42,0.04,26033025.00,0
30-0.02-8c,8c-20f,43,0.04,22999966.00,0
30-0.02-8c,8c-20f,44,0.04,4824588.00,0
30-0.02-8c,8c-20f,45,0.04,30063869.00,0
30-0.02-8c,8c-20f,46,0.04,18963464.00,0
30-0.02-8c,8c-20f,47,0.04,18782676.00,0
30-0.02-8c,8c-20f,48,0.04,30701344.00,0
30-0.02-8c,8c-20f,49,0.04,35461989.00,0
30-0.02-8c,8c-20f,50,0.04,32755334.00,0
30-0.02-8c,8c-20f,51,0.04,21502271.00,0
30-0.02-8c,8c-20f,52,0.04,21487586.00,0
30-0.02-8c,8c-20f,53,0.04,28237131.00,0
30-0.02-8c,8c-20f,54,0.04,28126162.00,0
30-0.02-8c,8c-20f,55,0.04,36855788.00,0
30-0.02-8c,8c-20f,56,0.04,26415190.00,0
30-0.02-8c,8c-20f,57,0.04,30169979.00,0
30-0.02-8c,8c-20f,58,0.04,34912897.00,0
30-0.02-8c,8c-20f,59,0.04,34694673.00,0
30-0.02-8c,8c-20f,60,0.04,8343148.00,1
30-0.02-8c,8c-20f,61,0.04,34255277.00,0
30-0.02-8c,8c-20f,62,0.04,39942752.00,1
30-0.02-8c,8c-20f,63,0.04,24761552.00,0
30-0.02-8c,8c-20f,64,0.04,29417048.00,0
30-0.02-8c,8c-20f,65,0.05,19805624.00,0
30-0.02-8c,8c-20f,66,0.05,25071380.00,1
30-0.02-8c,8c-20f,67,0.05,32804743.00,0
30-0.02-8c,8c-20f,68,0.05,42132610.00,0
30-0.02-8c,8c-20f,69,0.05,35477760.00,0
30-0.02-8c,8c-20f,70,0.05,13386441.00,0
30-0.02-8c,8c-20f,71,0.05,13255479.00,0
30-0.02-8c,8c-20f,72,0.05,39792281.00,0
30-0.02-8c,8c-20f,73,0.05,38556995.00,0
30-0.02-8c,8c-20f,74,0.05,28604362.00,1
30-0.02-8c,8c-20f,75,0.05,40307724.00,0
30-0.02-8c,8c-20f,76,0.05,44610772.00,0
30-0.02-8c,8c-20f,77,0.05,34073696.00,0
30-0.02-8c,8c-20f,78,0.05,28576331.00,0
