test,approach,answer,time,responseTime,isPositive
30-0.02-8c,8c-1f,1,0.01,9179272.00,0
30-0.02-8c,8c-1f,2,0.02,14885037.00,0
30-0.02-8c,8c-1f,3,0.02,20298960.00,0
30-0.02-8c,8c-1f,4,0.03,25144614.00,0
30-0.02-8c,8c-1f,5,0.03,30470490.00,0
30-0.02-8c,8c-1f,6,0.04,34207248.00,0
30-0.02-8c,8c-1f,7,0.04,34203291.00,0
30-0.02-8c,8c-1f,8,0.05,45254266.00,1
30-0.02-8c,8c-1f,9,0.05,48361829.00,1
30-0.02-8c,8c-1f,10,0.05,50885330.00,0
30-0.02-8c,8c-1f,11,0.06,54489096.00,1
30-0.02-8c,8c-1f,12,0.06,56492917.00,0
30-0.02-8c,8c-1f,13,0.06,58171860.00,0
30-0.02-8c,8c-1f,14,0.06,59837692.00,0
30-0.02-8c,8c-1f,15,0.07,61980513.00,0
30-0.02-8c,8c-1f,16,0.07,63803520.00,1
30-0.02-8c,8c-1f,17,0.07,67107046.00,0
30-0.02-8c,8c-1f,18,0.07,69078591.00,0
30-0.02-8c,8c-1f,19,0.08,71061086.00,0
30-0.02-8c,8c-1f,20,0.08,72615943.00,0
30-0.02-8c,8c-1f,21,0.08,72635781.00,0
30-0.02-8c,8c-1f,22,0.08,73913143.00,0
30-0.02-8c,8c-1f,23,0.08,76026879.00,0
30-0.02-8c,8c-1f,24,0.08,77595148.00,0
30-0.02-8c,8c-1f,25,0.08,79141678.00,0
30-0.02-8c,8c-1f,26,0.09,80431266.00,0
30-0.02-8c,8c-1f,27,0.09,82226672.00,0
30-0.02-8c,8c-1f,28,0.09,84670651.00,0
30-0.02-8c,8c-1f,29,0.09,86451869.00,0
30-0.02-8c,8c-1f,30,0.09,88143152.00,0
30-0.02-8c,8c-1f,31,0.10,89788447.00,0
30-0.02-8c,8c-1f,32,0.10,91124571.00,0
30-0.02-8c,8c-1f,33,0.10,92796661.00,0
30-0.02-8c,8c-1f,34,0.10,94151339.00,0
30-0.02-8c,8c-1f,35,0.10,95244806.00,0
30-0.02-8c,8c-1f,36,0.10,96369068.00,0
30-0.02-8c,8c-1f,37,0.10,97429324.00,0
30-0.02-8c,8c-1f,38,0.10,98634611.00,0
30-0.02-8c,8c-1f,39,0.11,100387115.00,0
30-0.02-8c,8c-1f,40,0.11,101957703.00,0
30-0.02-8c,8c-1f,41,0.11,103277876.00,0
30-0.02-8c,8c-1f,42,0.11,104374458.00,0
30-0.02-8c,8c-1f,43,0.11,105584262.00,0
30-0.02-8c,8c-1f,44,0.11,106774615.00,0
30-0.02-8c,8c-1f,45,0.11,107997207.00,0
30-0.02-8c,8c-1f,46,0.12,109338656.00,0
30-0.02-8c,8c-1f,47,0.12,110648019.00,0
30-0.02-8c,8c-1f,48,0.12,110490488.00,0
30-0.02-8c,8c-1f,49,0.12,111666886.00,0
30-0.02-8c,8c-1f,50,0.12,112891816.00,0
30-0.02-8c,8c-1f,51,0.12,114442423.00,0
30-0.02-8c,8c-1f,52,0.12,115840496.00,0
30-0.02-8c,8c-1f,53,0.12,116986420.00,0
30-0.02-8c,8c-1f,54,0.13,118211242.00,0
30-0.02-8c,8c-1f,55,0.13,119477224.00,0
30-0.02-8c,8c-1f,56,0.13,121032924.00,0
30-0.02-8c,8c-1f,57,0.13,122303336.00,0
30-0.02-8c,8c-1f,58,0.13,123472117.00,0
30-0.02-8c,8c-1f,59,0.13,124704284.00,1
30-0.02-8c,8c-1f,60,0.13,126116360.00,0
30-0.02-8c,8c-1f,61,0.13,127831705.00,0
30-0.02-8c,8c-1f,62,0.14,129332612.00,0
30-0.02-8c,8c-1f,63,0.14,130973202.00,0
30-0.02-8c,8c-1f,64,0.14,132651583.00,0
30-0.02-8c,8c-1f,65,0.14,134166082.00,0
30-0.02-8c,8c-1f,66,0.14,135821805.00,0
30-0.02-8c,8c-1f,67,0.14,137366423.00,0
30-0.02-8c,8c-1f,68,0.14,137377050.00,0
30-0.02-8c,8c-1f,69,0.15,138809774.00,0
30-0.02-8c,8c-1f,70,0.15,140258733.00,0
30-0.02-8c,8c-1f,71,0.15,141345159.00,0
30-0.02-8c,8c-1f,72,0.15,142472380.00,0
30-0.02-8c,8c-1f,73,0.15,143681905.00,0
30-0.02-8c,8c-1f,74,0.15,144886398.00,1
30-0.02-8c,8c-1f,75,0.15,146416467.00,0
30-0.02-8c,8c-1f,76,0.16,152683252.00,0
30-0.02-8c,8c-1f,77,0.16,155282244.00,0
30-0.02-8c,8c-1f,78,0.17,157232710.00,0
30-0.02-8c,8c-1f,79,0.17,159496958.00,0
30-0.02-8c,8c-1f,80,0.17,161326089.00,0
30-0.02-8c,8c-1f,81,0.17,163353736.00,0
30-0.02-8c,8c-1f,82,0.17,163062298.00,0
30-0.02-8c,8c-1f,83,0.17,162075931.00,0
30-0.02-8c,8c-1f,84,0.18,164362381.00,0
30-0.02-8c,8c-1f,85,0.18,164416612.00,0
30-0.02-8c,8c-1f,86,0.18,166603778.00,0
30-0.02-8c,8c-1f,87,0.18,168717472.00,0
30-0.02-8c,8c-1f,88,0.18,170654127.00,0
30-0.02-8c,8c-1f,89,0.18,173166952.00,0
30-0.02-8c,8c-1f,90,0.19,180676297.00,0
30-0.02-8c,8c-1f,91,0.19,182830698.00,0
30-0.02-8c,8c-1f,92,0.20,184944498.00,0
30-0.02-8c,8c-1f,93,0.20,187472913.00,0
30-0.02-8c,8c-1f,94,0.20,190094259.00,0
30-0.02-8c,8c-1f,95,0.20,192305930.00,0
30-0.02-8c,8c-1f,96,0.21,194109634.00,0
30-0.02-8c,8c-1f,97,0.21,195696706.00,0
30-0.02-8c,8c-1f,98,0.21,198160330.00,0
30-0.02-8c,8c-1f,99,0.21,198185061.00,0
30-0.02-8c,8c-1f,100,0.21,200228703.00,0
30-0.02-8c,8c-1f,101,0.21,201992853.00,0
30-0.02-8c,8c-1f,102,0.21,202039874.00,0
30-0.02-8c,8c-1f,103,0.22,203609627.00,0
30-0.02-8c,8c-1f,104,0.22,203877582.00,0
30-0.02-8c,8c-1f,105,0.22,205571738.00,0
30-0.02-8c,8c-1f,106,0.22,207230703.00,0
30-0.02-8c,8c-1f,107,0.22,208741826.00,0
30-0.02-8c,8c-1f,108,0.22,208622820.00,0
30-0.02-8c,8c-1f,109,0.22,210250883.00,0
30-0.02-8c,8c-1f,110,0.22,211486186.00,0
30-0.02-8c,8c-1f,111,0.22,212547315.00,0
30-0.02-8c,8c-1f,112,0.23,213703779.00,0
30-0.02-8c,8c-1f,113,0.23,215249772.00,0
30-0.02-8c,8c-1f,114,0.23,216333690.00,0
30-0.02-8c,8c-1f,115,0.23,217266107.00,0
30-0.02-8c,8c-1f,116,0.23,218344193.00,0
30-0.02-8c,8c-1f,117,0.23,219701626.00,0
30-0.02-8c,8c-1f,118,0.23,219713097.00,0
30-0.02-8c,8c-1f,119,0.23,221004886.00,0
30-0.02-8c,8c-1f,120,0.24,223248587.00,0
30-0.02-8c,8c-1f,121,0.24,224991122.00,1
30-0.02-8c,8c-1f,122,0.24,226679735.00,0
