test,approach,answer,time,responseTime
30-0.02-1c,1c-2000f,1,3.50,7620931.00
30-0.02-1c,1c-2000f,2,3.53,8132553.00
30-0.02-1c,1c-2000f,3,3.70,7297106.00
30-0.02-1c,1c-2000f,4,4.34,7300979.00
30-0.02-1c,1c-2000f,5,8.74,6080337.00
30-0.02-1c,1c-2000f,6,9.54,6806738.00
30-0.02-1c,1c-2000f,7,11.96,8274926.00
30-0.02-1c,1c-2000f,8,12.39,7504270.00
30-0.02-1c,1c-2000f,9,14.68,6198637.00
30-0.02-1c,1c-2000f,10,17.35,7429214.00
30-0.02-1c,1c-2000f,11,18.38,7227219.00
30-0.02-1c,1c-2000f,12,20.92,6067728.00
30-0.02-1c,1c-2000f,13,21.79,8136350.00
30-0.02-1c,1c-2000f,14,22.62,8490306.00
30-0.02-1c,1c-2000f,15,24.41,8506720.00
30-0.02-1c,1c-2000f,16,26.60,6496439.00
30-0.02-1c,1c-2000f,17,27.48,9514657.00
30-0.02-1c,1c-2000f,18,27.69,7260007.00
30-0.02-1c,1c-2000f,19,27.95,9708180.00
30-0.02-1c,1c-2000f,20,31.39,10048164.00
30-0.02-1c,1c-2000f,21,32.54,8849671.00
30-0.02-1c,1c-2000f,22,33.53,9361958.00
30-0.02-1c,1c-2000f,23,33.75,8197463.00
30-0.02-1c,1c-2000f,24,34.13,4353794.00
30-0.02-1c,1c-2000f,25,34.48,8065676.00
30-0.02-1c,1c-2000f,26,35.77,7238102.00
30-0.02-1c,1c-2000f,27,36.17,5555432.00
30-0.02-1c,1c-2000f,28,36.55,5138196.00
30-0.02-1c,1c-2000f,29,37.35,7015963.00
30-0.02-1c,1c-2000f,30,37.69,6269560.00
30-0.02-1c,1c-2000f,31,39.47,7692072.00
30-0.02-1c,1c-2000f,32,44.14,9450487.00
30-0.02-1c,1c-2000f,33,44.20,6378102.00
30-0.02-1c,1c-2000f,34,46.55,6017344.00
30-0.02-1c,1c-2000f,35,46.93,8164719.00
30-0.02-1c,1c-2000f,36,47.60,5458284.00
30-0.02-1c,1c-2000f,37,48.45,6290038.00
30-0.02-1c,1c-2000f,38,49.35,7043879.00
30-0.02-1c,1c-2000f,39,49.71,8253036.00
30-0.02-1c,1c-2000f,40,50.08,6445405.00
30-0.02-1c,1c-2000f,41,52.51,7652195.00
